transaction_amount,customer_tenure_months,retry_count,gateway_response_time_ms,is_high_value_transaction,is_repeat_failure,failure_reason_bank_decline,failure_reason_card_expired,failure_reason_insufficient_funds,failure_reason_network_error,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,customer_segment_high_value_repeat,customer_segment_new_customer,customer_segment_occasional
25.0,31,2,350,0,1,False,False,True,False,False,True,False,False,False,False,True
24.3,2,1,3636,0,0,False,False,False,True,False,False,False,True,False,True,False
70.8,63,0,278,1,0,True,False,False,False,False,True,False,False,True,False,False
78.8,20,0,359,1,0,False,False,True,False,False,False,True,False,False,False,True
83.3,71,1,2553,1,0,False,False,False,True,False,True,False,False,True,False,False
61.15,66,0,321,0,0,False,False,True,False,True,False,False,False,True,False,False
45.15,8,0,395,0,0,False,True,False,False,False,False,False,True,False,False,True
96.0,2,1,508,1,0,False,True,False,False,False,False,True,False,False,True,False
35.1,3,0,301,0,0,False,True,False,False,False,False,False,True,False,True,False
20.25,47,2,534,0,1,False,True,False,False,False,True,False,False,False,False,True
49.25,2,0,379,0,0,False,False,True,False,False,False,True,False,False,True,False
74.0,1,0,456,1,0,True,False,False,False,False,False,True,False,False,True,False
20.25,7,1,1867,0,0,False,False,False,True,False,False,False,True,False,False,True
105.0,69,1,3156,1,0,False,False,False,True,False,False,True,False,True,False,False
105.3,5,1,592,1,0,True,False,False,False,False,False,True,False,False,False,True
19.6,71,1,89,0,0,False,False,True,False,False,False,False,True,False,False,True
74.3,1,0,298,1,0,True,False,False,False,False,True,False,False,False,True,False
89.65,14,1,280,1,0,False,True,False,False,False,True,False,False,False,False,True
19.35,29,1,227,0,0,False,False,True,False,False,True,False,False,False,False,True
81.8,56,3,652,1,1,True,False,False,False,False,True,False,False,True,False,False
95.75,6,2,637,1,1,True,False,False,False,False,False,True,False,False,False,True
40.2,1,2,270,0,1,True,False,False,False,False,False,True,False,False,True,False
90.95,46,1,650,1,0,False,False,True,False,True,False,False,False,True,False,False
108.2,20,1,511,1,0,False,False,True,False,True,False,False,False,False,False,True
85.8,20,3,402,1,1,False,False,True,False,False,True,False,False,False,False,True
76.25,37,0,3167,1,0,False,False,False,True,False,False,True,False,True,False,False
19.7,24,0,415,0,0,False,True,False,False,False,False,False,True,False,False,True
94.65,29,0,598,1,0,False,True,False,False,False,True,False,False,True,False,False
104.4,21,0,425,1,0,False,True,False,False,True,False,False,False,False,False,True
103.3,19,0,391,1,0,False,False,True,False,False,False,True,False,False,False,True
80.6,54,0,312,1,0,True,False,False,False,False,False,True,False,True,False,False
19.3,2,0,317,0,0,False,True,False,False,False,True,False,False,False,True,False
104.3,27,2,502,1,1,False,True,False,False,True,False,False,False,True,False,False
60.75,46,0,2418,0,0,False,False,False,True,True,False,False,False,True,False,False
19.65,18,0,512,0,0,False,True,False,False,False,False,False,True,False,False,True
19.85,52,3,674,0,1,True,False,False,False,False,False,False,True,False,False,True
56.15,43,0,621,0,0,False,False,True,False,False,False,True,False,False,False,True
19.95,3,1,128,0,0,False,False,True,False,False,False,False,True,False,True,False
44.8,4,3,431,0,1,False,False,True,False,False,True,False,False,False,False,True
83.55,6,1,682,1,0,False,False,True,False,False,True,False,False,False,False,True
100.8,35,0,628,1,0,True,False,False,False,False,False,True,False,True,False,False
60.3,68,1,437,0,0,False,True,False,False,False,True,False,False,True,False,False
96.25,5,0,467,1,0,False,False,True,False,False,False,True,False,False,False,True
44.6,3,0,284,0,0,False,False,True,False,False,False,True,False,False,True,False
72.75,4,0,2767,1,0,False,False,False,True,False,False,True,False,False,False,True
25.3,4,0,434,0,0,False,False,True,False,False,True,False,False,False,False,True
79.7,2,2,1643,1,1,False,False,False,True,True,False,False,False,False,True,False
110.1,40,1,274,1,0,True,False,False,False,False,True,False,False,True,False,False
95.1,10,0,508,1,0,False,False,True,False,False,True,False,False,False,False,True
80.5,24,1,1919,1,0,False,False,False,True,False,False,True,False,False,False,True
107.4,72,0,352,1,0,False,False,True,False,True,False,False,False,True,False,False
99.3,24,2,2868,1,1,False,False,False,True,False,True,False,False,False,False,True
86.6,72,3,198,1,1,False,True,False,False,True,False,False,False,True,False,False
52.2,1,0,358,0,0,True,False,False,False,False,False,True,False,False,True,False
88.35,18,1,438,1,0,False,False,True,False,False,False,True,False,False,False,True
40.05,4,3,575,0,1,False,True,False,False,False,False,True,False,False,False,True
90.85,36,1,523,1,0,True,False,False,False,False,False,True,False,True,False,False
75.25,11,0,478,1,0,False,True,False,False,False,False,True,False,False,False,True
69.55,1,0,325,0,0,True,False,False,False,False,False,True,False,False,True,False
79.9,42,0,382,1,0,True,False,False,False,False,False,True,False,True,False,False
85.35,16,1,3916,1,0,False,False,False,True,False,True,False,False,False,False,True
114.35,50,1,657,1,0,False,False,True,False,False,True,False,False,True,False,False
24.6,1,0,2466,0,0,False,False,False,True,False,False,True,False,False,True,False
19.95,38,1,2878,0,0,False,False,False,True,False,False,False,True,False,False,True
79.85,24,0,402,1,0,False,False,True,False,False,False,True,False,False,False,True
59.7,31,0,183,0,0,False,False,True,False,True,False,False,False,False,False,True
19.45,8,0,219,0,0,False,False,True,False,True,False,False,False,False,False,True
107.55,43,1,263,1,0,True,False,False,False,False,False,True,False,True,False,False
70.35,57,0,346,0,0,False,True,False,False,False,True,False,False,True,False,False
20.85,13,3,2709,0,1,False,False,False,True,False,False,False,True,False,False,True
89.6,40,2,401,1,1,False,False,True,False,False,True,False,False,True,False,False
19.65,23,1,224,0,0,False,False,True,False,False,False,False,True,False,False,True
83.6,72,1,367,1,0,True,False,False,False,False,True,False,False,True,False,False
84.25,55,2,443,1,1,True,False,False,False,False,True,False,False,True,False,False
111.45,48,0,463,1,0,False,True,False,False,True,False,False,False,True,False,False
74.95,1,0,419,1,0,False,True,False,False,False,False,True,False,False,True,False
97.35,36,2,318,1,1,False,False,True,False,True,False,False,False,True,False,False
69.35,11,3,213,0,1,True,False,False,False,False,False,True,False,False,False,True
84.6,1,0,217,1,0,True,False,False,False,False,False,True,False,False,True,False
98.4,53,3,260,1,1,False,True,False,False,False,True,False,False,True,False,False
51.05,70,1,372,0,0,True,False,False,False,True,False,False,False,False,False,True
95.7,12,0,377,1,0,False,True,False,False,False,False,True,False,False,False,True
94.7,22,0,2685,1,0,False,False,False,True,False,True,False,False,False,False,True
69.05,55,0,3049,0,0,False,False,False,True,False,True,False,False,True,False,False
64.45,28,1,264,0,0,False,False,True,False,True,False,False,False,True,False,False
19.85,58,0,2613,0,0,False,False,False,True,False,False,False,True,False,False,True
19.7,19,1,416,0,0,False,True,False,False,False,True,False,False,False,False,True
95.15,19,0,426,1,0,False,False,True,False,False,False,True,False,False,False,True
72.45,31,0,430,1,0,False,False,True,False,True,False,False,False,True,False,False
89.4,13,0,419,1,0,False,True,False,False,False,False,True,False,False,False,True
20.2,1,0,805,0,0,True,False,False,False,False,False,False,True,False,True,False
70.65,1,0,421,1,0,True,False,False,False,False,False,False,True,False,True,False
73.55,18,0,549,1,0,False,False,True,False,False,False,True,False,False,False,True
19.95,13,0,352,0,0,True,False,False,False,False,False,False,True,False,False,True
20.3,2,2,2752,0,1,False,False,False,True,False,False,False,True,False,True,False
64.95,70,1,203,0,0,False,False,True,False,False,True,False,False,True,False,False
19.35,44,0,2436,0,0,False,False,False,True,False,True,False,False,False,False,True
20.85,4,0,385,0,0,False,True,False,False,False,False,False,True,False,False,True
76.15,65,1,582,1,0,False,False,True,False,True,False,False,False,True,False,False
99.65,71,0,335,1,0,False,False,True,False,False,True,False,False,True,False,False
53.85,64,1,173,0,0,True,False,False,False,True,False,False,False,False,False,True
92.35,28,2,563,1,1,False,True,False,False,False,False,False,True,True,False,False
96.4,16,0,305,1,0,False,True,False,False,False,False,True,False,False,False,True
114.2,70,0,413,1,0,False,False,True,False,True,False,False,False,True,False,False
81.5,39,2,350,1,1,False,True,False,False,True,False,False,False,True,False,False
45.0,19,0,583,0,0,True,False,False,False,True,False,False,False,False,False,True
104.95,60,1,462,1,0,True,False,False,False,True,False,False,False,True,False,False
90.35,51,0,568,1,0,False,False,True,False,False,True,False,False,True,False,False
110.5,56,1,1666,1,0,False,False,False,True,False,False,True,False,True,False,False
105.0,66,0,2411,1,0,False,False,False,True,False,True,False,False,True,False,False
55.5,58,0,239,0,0,False,True,False,False,False,True,False,False,False,False,True
59.1,69,0,1932,0,0,False,False,False,True,True,False,False,False,False,False,True
56.15,27,1,359,0,0,False,True,False,False,False,False,False,True,False,False,True
48.6,1,0,2302,0,0,False,False,False,True,False,False,True,False,False,True,False
20.0,6,2,523,0,1,False,False,True,False,False,False,False,True,False,False,True
25.05,7,1,453,0,0,False,True,False,False,True,False,False,False,False,False,True
69.7,8,0,436,0,0,False,True,False,False,False,False,True,False,False,False,True
69.5,15,0,1649,0,0,False,False,False,True,False,False,False,True,False,False,True
20.4,9,2,329,0,1,True,False,False,False,False,False,False,True,False,False,True
67.25,12,0,351,0,0,False,True,False,False,False,False,True,False,False,False,True
71.05,25,0,1449,1,0,False,False,False,True,False,False,False,True,True,False,False
81.05,28,3,640,1,1,False,False,True,False,False,False,True,False,True,False,False
100.65,49,0,169,1,0,False,False,True,False,False,True,False,False,True,False,False
44.85,57,1,270,0,0,False,False,True,False,False,False,True,False,False,False,True
20.55,11,1,2881,0,0,False,False,False,True,False,False,False,True,False,False,True
95.25,37,1,179,1,0,False,False,True,False,False,False,True,False,True,False,False
101.3,40,1,2959,1,0,False,False,False,True,False,False,True,False,True,False,False
45.2,54,3,530,0,1,False,False,True,False,False,True,False,False,False,False,True
85.05,12,1,381,1,0,False,True,False,False,False,True,False,False,False,False,True
55.3,4,0,565,0,0,True,False,False,False,False,False,False,True,False,False,True
103.15,66,2,195,1,1,True,False,False,False,True,False,False,False,True,False,False
59.5,70,0,291,0,0,False,True,False,False,True,False,False,False,False,False,True
74.9,1,3,2968,1,1,False,False,False,True,False,False,True,False,False,True,False
103.25,58,3,507,1,1,False,False,True,False,True,False,False,False,True,False,False
86.05,47,0,341,1,0,False,True,False,False,False,True,False,False,True,False,False
78.85,4,1,702,1,0,False,False,True,False,False,False,True,False,False,False,True
59.3,57,2,567,0,1,False,False,True,False,False,False,False,True,False,False,True
94.0,15,0,367,1,0,False,False,True,False,False,True,False,False,False,False,True
89.55,24,3,312,1,1,True,False,False,False,False,False,True,False,False,False,True
19.35,20,2,344,0,1,False,True,False,False,False,True,False,False,False,False,True
98.3,61,0,527,1,0,False,False,True,False,False,False,False,True,True,False,False
49.95,16,1,1448,0,0,False,False,False,True,False,False,True,False,False,False,True
97.7,72,1,323,1,0,False,True,False,False,False,True,False,False,True,False,False
39.7,14,3,272,0,1,False,True,False,False,False,False,False,True,False,False,True
46.05,2,3,130,0,1,False,False,True,False,True,False,False,False,False,True,False
91.8,64,0,488,1,0,False,False,True,False,False,False,True,False,True,False,False
19.8,30,1,539,0,0,True,False,False,False,False,True,False,False,False,False,True
89.45,64,1,453,1,0,False,True,False,False,True,False,False,False,True,False,False
111.6,61,2,395,1,1,False,False,True,False,False,True,False,False,True,False,False
84.15,50,0,537,1,0,True,False,False,False,False,True,False,False,True,False,False
94.9,47,2,411,1,1,False,False,True,False,False,True,False,False,True,False,False
59.9,51,0,351,0,0,True,False,False,False,False,True,False,False,False,False,True
91.2,37,0,589,1,0,False,False,True,False,True,False,False,False,True,False,False
97.0,64,1,342,1,0,True,False,False,False,True,False,False,False,True,False,False
60.2,60,0,222,0,0,False,False,True,False,True,False,False,False,True,False,False
20.05,1,1,486,0,0,False,False,True,False,False,False,False,True,False,True,False
81.95,14,1,353,1,0,False,True,False,False,False,False,False,True,False,False,True
76.0,1,1,391,1,0,False,False,True,False,False,False,True,False,False,True,False
88.25,17,0,554,1,0,True,False,False,False,False,False,True,False,False,False,True
104.5,63,0,1209,1,0,False,False,False,True,False,True,False,False,True,False,False
26.25,72,3,529,0,1,False,True,False,False,True,False,False,False,False,False,True
100.55,29,0,305,1,0,False,False,True,False,False,True,False,False,True,False,False
61.5,18,0,195,0,0,False,True,False,False,False,False,False,True,False,False,True
70.15,38,2,436,0,1,False,True,False,False,False,True,False,False,True,False,False
19.3,26,1,182,0,0,True,False,False,False,False,True,False,False,False,False,True
104.8,70,1,598,1,0,False,False,True,False,False,False,True,False,True,False,False
79.3,7,0,326,1,0,False,True,False,False,False,False,True,False,False,False,True
20.85,22,0,529,0,0,False,True,False,False,True,False,False,False,False,False,True
54.75,25,1,356,0,0,False,True,False,False,False,True,False,False,False,False,True
39.1,33,1,589,0,0,False,False,True,False,False,False,True,False,False,False,True
95.55,27,1,354,1,0,False,False,True,False,False,False,True,False,True,False,False
74.9,15,1,485,1,0,False,False,True,False,True,False,False,False,False,False,True
24.85,41,0,203,0,0,False,False,True,False,False,False,False,True,False,False,True
95.0,38,0,3040,1,0,False,False,False,True,True,False,False,False,True,False,False
89.2,44,1,4214,1,0,False,False,False,True,False,False,True,False,True,False,False
19.75,66,3,515,0,1,False,True,False,False,False,False,False,True,False,False,True
20.85,19,1,1560,0,0,False,False,False,True,False,True,False,False,False,False,True
90.2,17,3,230,1,1,False,True,False,False,False,True,False,False,False,False,True
74.9,7,0,294,1,0,False,True,False,False,False,False,True,False,False,False,True
71.7,21,0,339,1,0,True,False,False,False,True,False,False,False,False,False,True
94.1,61,3,377,1,1,False,True,False,False,False,False,True,False,True,False,False
50.7,4,1,300,0,0,False,True,False,False,False,False,True,False,False,False,True
75.2,58,0,337,1,0,True,False,False,False,False,True,False,False,True,False,False
55.95,21,2,3329,0,1,False,False,False,True,False,False,True,False,False,False,True
19.95,60,2,264,0,1,True,False,False,False,False,False,False,True,False,False,True
25.7,43,0,388,0,0,False,False,True,False,False,True,False,False,False,False,True
85.25,36,0,132,1,0,False,False,True,False,False,True,False,False,True,False,False
55.0,57,0,556,0,0,False,False,True,False,False,False,True,False,False,False,True
54.95,24,0,2030,0,0,False,False,False,True,False,False,True,False,False,False,True
105.25,68,1,383,1,0,False,True,False,False,True,False,False,False,True,False,False
94.65,72,1,309,1,0,False,False,True,False,False,False,True,False,True,False,False
39.55,9,0,693,0,0,False,False,True,False,False,False,False,True,False,False,True
79.5,66,0,338,1,0,False,True,False,False,False,True,False,False,True,False,False
73.5,8,3,2526,1,1,False,False,False,True,False,False,True,False,False,False,True
103.05,50,3,1771,1,1,False,False,False,True,False,False,False,True,True,False,False
75.75,10,0,623,1,0,False,False,True,False,False,False,False,True,False,False,True
30.4,54,1,3128,0,0,False,False,False,True,False,False,True,False,False,False,True
79.65,1,0,536,1,0,True,False,False,False,False,False,True,False,False,True,False
108.55,71,3,526,1,1,False,False,True,False,False,True,False,False,True,False,False
101.15,4,1,337,1,0,True,False,False,False,False,False,True,False,False,False,True
54.65,33,0,656,0,0,False,False,True,False,True,False,False,False,False,False,True
86.65,10,2,302,1,1,False,False,True,False,False,False,True,False,False,False,True
49.2,72,3,410,0,1,False,False,True,False,False,False,True,False,False,False,True
20.85,1,0,447,0,0,True,False,False,False,False,False,False,True,False,True,False
25.6,67,2,307,0,1,True,False,False,False,True,False,False,False,False,False,True
80.0,22,2,4799,1,1,False,False,False,True,False,True,False,False,False,False,True
96.75,62,3,392,1,1,False,False,True,False,False,False,True,False,True,False,False
41.9,21,0,893,0,0,True,False,False,False,False,False,True,False,False,False,True
111.75,68,0,445,1,0,True,False,False,False,False,True,False,False,True,False,False
98.05,7,0,1384,1,0,False,False,False,True,True,False,False,False,False,False,True
79.8,58,1,656,1,0,False,True,False,False,True,False,False,False,True,False,False
83.75,23,0,267,1,0,True,False,False,False,False,False,True,False,False,False,True
23.95,71,0,354,0,0,False,True,False,False,True,False,False,False,False,False,True
86.2,41,0,277,1,0,False,False,True,False,True,False,False,False,True,False,False
56.05,0,0,370,0,0,True,False,False,False,False,True,False,False,False,True,False
62.15,61,0,2640,0,0,False,False,False,True,False,False,False,True,True,False,False
99.65,46,0,292,1,0,False,False,True,False,False,False,False,True,True,False,False
20.7,6,2,2028,0,1,False,False,False,True,False,False,False,True,False,False,True
94.25,7,0,2591,1,0,False,False,False,True,False,False,True,False,False,False,True
73.7,21,0,466,1,0,True,False,False,False,False,False,True,False,False,False,True
95.05,13,3,621,1,1,False,True,False,False,False,False,True,False,False,False,True
83.3,22,1,489,1,0,False,False,True,False,False,False,True,False,False,False,True
69.05,26,1,433,0,0,False,True,False,False,False,True,False,False,True,False,False
42.4,4,0,2013,0,0,False,False,False,True,False,False,False,True,False,False,True
19.5,63,0,631,0,0,False,False,False,True,False,True,False,False,False,False,True
79.9,5,0,78,1,0,True,False,False,False,True,False,False,False,False,False,True
19.7,6,0,406,0,0,True,False,False,False,False,True,False,False,False,False,True
94.45,55,0,377,1,0,False,False,True,False,False,True,False,False,True,False,False
76.4,51,1,476,1,0,False,False,True,False,True,False,False,False,True,False,False
68.75,56,0,286,0,0,True,False,False,False,True,False,False,False,True,False,False
20.1,18,1,306,0,0,True,False,False,False,False,False,False,True,False,False,True
105.6,72,0,188,1,0,False,False,True,False,True,False,False,False,True,False,False
49.6,19,1,591,0,0,False,False,True,False,True,False,False,False,False,False,True
96.7,22,0,1862,1,0,False,False,False,True,False,False,True,False,False,False,True
35.45,41,0,571,0,0,True,False,False,False,False,False,False,True,False,False,True
19.45,5,2,297,0,1,False,True,False,False,False,False,False,True,False,False,True
74.3,57,3,422,1,1,False,True,False,False,False,True,False,False,True,False,False
101.45,29,0,321,1,0,True,False,False,False,True,False,False,False,True,False,False
93.8,33,1,2348,1,0,False,False,False,True,False,False,True,False,True,False,False
97.85,72,0,442,1,0,False,True,False,False,False,False,True,False,True,False,False
88.65,31,1,341,1,0,False,False,True,False,False,True,False,False,True,False,False
104.45,52,1,335,1,0,False,False,True,False,True,False,False,False,True,False,False
20.05,35,1,2627,0,0,False,False,False,True,True,False,False,False,False,False,True
19.85,7,0,424,0,0,False,True,False,False,False,False,False,True,False,False,True
54.7,22,0,2494,0,0,False,False,False,True,False,False,False,True,False,False,True
74.9,6,0,446,1,0,False,False,True,False,False,False,True,False,False,False,True
37.7,60,1,148,0,0,False,False,True,False,True,False,False,False,False,False,True
20.25,24,1,476,0,0,False,False,True,False,False,False,False,True,False,False,True
73.55,31,0,237,1,0,False,False,True,False,False,True,False,False,True,False,False
85.75,26,0,352,1,0,True,False,False,False,False,False,True,False,True,False,False
69.9,1,0,268,0,0,True,False,False,False,False,False,False,True,False,True,False
19.6,40,2,203,0,1,False,False,True,False,False,False,False,True,False,False,True
20.05,10,0,1976,0,0,False,False,False,True,False,True,False,False,False,False,True
19.2,70,1,235,0,0,False,True,False,False,False,False,False,True,False,False,True
55.15,3,1,406,0,0,False,False,True,False,False,False,False,True,False,True,False
85.0,46,0,2564,1,0,False,False,False,True,False,False,True,False,True,False,False
110.15,59,1,468,1,0,False,False,True,False,False,False,True,False,True,False,False
70.65,48,1,277,1,0,False,False,True,False,True,False,False,False,True,False,False
19.35,59,0,2967,0,0,False,False,False,True,False,False,False,True,False,False,True
30.6,29,0,2283,0,0,False,False,False,True,False,False,True,False,False,False,True
19.65,8,0,2443,0,0,False,False,False,True,False,False,True,False,False,False,True
19.75,9,0,2265,0,0,False,False,False,True,False,False,False,True,False,False,True
58.2,8,3,321,0,1,True,False,False,False,True,False,False,False,False,False,True
89.95,28,0,757,1,0,False,False,True,False,False,False,True,False,True,False,False
76.0,20,0,455,1,0,True,False,False,False,True,False,False,False,False,False,True
104.75,56,0,263,1,0,False,False,True,False,True,False,False,False,True,False,False
40.65,49,2,1575,0,1,False,False,False,True,True,False,False,False,False,False,True
88.9,5,0,412,1,0,False,False,True,False,False,False,False,True,False,False,True
90.0,18,0,134,1,0,False,False,True,False,False,True,False,False,False,False,True
90.4,71,0,181,1,0,False,False,True,False,False,False,True,False,True,False,False
89.0,20,0,467,1,0,False,True,False,False,False,False,False,True,False,False,True
42.35,40,0,538,0,0,False,True,False,False,False,False,True,False,False,False,True
60.6,18,0,672,0,0,False,False,True,False,False,False,False,True,False,False,True
20.3,38,0,585,0,0,False,False,True,False,False,False,False,True,False,False,True
105.6,67,0,508,1,0,False,True,False,False,False,False,True,False,True,False,False
55.35,17,0,241,0,0,True,False,False,False,False,True,False,False,False,False,True
35.25,1,0,378,0,0,False,True,False,False,True,False,False,False,False,True,False
25.05,68,0,629,0,0,False,False,True,False,False,True,False,False,False,False,True
83.15,35,0,212,1,0,False,True,False,False,False,False,True,False,True,False,False
75.8,3,0,486,1,0,True,False,False,False,False,False,True,False,False,True,False
90.25,8,1,462,1,0,False,False,True,False,False,False,True,False,False,False,True
70.9,29,3,298,1,1,False,False,True,False,False,True,False,False,True,False,False
34.7,2,0,3389,0,0,False,False,False,True,False,False,True,False,False,True,False
73.8,53,1,223,1,0,False,True,False,False,False,True,False,False,True,False,False
25.3,1,1,378,0,0,False,True,False,False,False,False,True,False,False,True,False
75.15,7,0,223,1,0,False,True,False,False,False,False,True,False,False,False,True
20.05,4,1,422,0,0,False,True,False,False,True,False,False,False,False,False,True
76.0,29,3,499,1,1,False,False,True,False,False,True,False,False,True,False,False
75.1,3,0,333,1,0,True,False,False,False,False,True,False,False,False,True,False
25.8,1,0,393,0,0,False,False,True,False,False,False,False,True,False,True,False
35.3,7,0,50,0,0,False,False,True,False,False,False,False,True,False,False,True
111.25,52,0,3453,1,0,False,False,False,True,False,True,False,False,True,False,False
91.95,72,0,632,1,0,True,False,False,False,False,True,False,False,True,False,False
96.75,55,0,261,1,0,True,False,False,False,False,False,True,False,True,False,False
19.65,1,1,443,0,0,False,False,True,False,True,False,False,False,False,True,False
19.55,6,1,341,0,0,True,False,False,False,False,False,False,True,False,False,True
20.2,29,0,4957,0,0,False,False,False,True,False,False,False,True,False,False,True
48.15,42,0,283,0,0,False,True,False,False,False,True,False,False,False,False,True
40.35,30,0,319,0,0,False,True,False,False,False,True,False,False,False,False,True
50.9,1,0,449,0,0,False,True,False,False,False,False,False,True,False,True,False
86.05,72,0,411,1,0,True,False,False,False,False,True,False,False,True,False,False
50.7,4,0,600,0,0,True,False,False,False,False,True,False,False,False,False,True
24.7,1,0,532,0,0,False,False,True,False,False,False,True,False,False,True,False
68.65,1,2,258,0,1,False,False,True,False,False,False,True,False,False,True,False
74.25,1,0,615,1,0,False,True,False,False,False,False,False,True,False,True,False
80.4,62,0,252,1,0,False,False,True,False,True,False,False,False,True,False,False
101.25,15,0,2692,1,0,False,False,False,True,False,False,True,False,False,False,True
19.2,1,1,3830,0,0,False,False,False,True,False,False,False,True,False,True,False
