customerID,transaction_amount,customer_tenure_months,payment_method,retry_count,failure_reason,gateway_response_time_ms,customer_segment,payment_recovered
3841-NFECX,96.35,71,Credit card (automatic),1,insufficient_funds,225,high_value_repeat,Yes
4929-XIHVW,95.5,2,Credit card (automatic),0,card_expired,620,new_customer,No
6827-IEAUQ,66.15,27,Mailed check,0,insufficient_funds,201,high_value_repeat,No
7310-EGVHZ,20.2,1,Bank transfer (automatic),3,network_error,3576,new_customer,Yes
3413-BMNZE,45.25,1,Bank transfer (automatic),3,network_error,3448,new_customer,Yes
6234-RAAPL,99.9,72,Bank transfer (automatic),2,card_expired,534,high_value_repeat,No
6047-YHPVI,69.7,5,Electronic check,0,network_error,1944,occasional,Yes
6572-ADKRS,74.8,46,Credit card (automatic),0,insufficient_funds,451,high_value_repeat,Yes
5380-WJKOV,106.35,34,Electronic check,1,network_error,1478,high_value_repeat,Yes
8168-UQWWF,97.85,11,Bank transfer (automatic),0,insufficient_funds,536,occasional,Yes
8865-TNMNX,49.55,10,Mailed check,0,card_expired,388,occasional,No
9489-DEDVP,69.2,70,Credit card (automatic),1,network_error,2172,high_value_repeat,Yes
9867-JCZSP,20.75,17,Mailed check,0,insufficient_funds,216,occasional,Yes
4671-VJLCL,79.85,63,Credit card (automatic),3,network_error,517,high_value_repeat,No
4080-IIARD,76.2,13,Electronic check,0,card_expired,244,occasional,No
3714-NTNFO,84.5,49,Electronic check,1,insufficient_funds,566,high_value_repeat,Yes
5948-UJZLF,49.25,2,Mailed check,0,insufficient_funds,339,new_customer,Yes
7760-OYPDY,80.65,2,Electronic check,1,insufficient_funds,374,new_customer,Yes
7639-LIAYI,79.75,52,Credit card (automatic),1,bank_decline,498,high_value_repeat,No
2954-PIBKO,64.15,69,Credit card (automatic),0,network_error,3944,high_value_repeat,Yes
8012-SOUDQ,90.25,43,Electronic check,3,insufficient_funds,598,high_value_repeat,Yes
9420-LOJKX,99.1,15,Credit card (automatic),2,insufficient_funds,254,occasional,No
6575-SUVOI,69.5,25,Credit card (automatic),3,network_error,945,high_value_repeat,Yes
7495-OOKFY,80.65,8,Credit card (automatic),2,bank_decline,753,occasional,No
4667-QONEA,74.85,60,Credit card (automatic),1,insufficient_funds,740,high_value_repeat,Yes
1658-BYGOY,95.45,18,Electronic check,3,insufficient_funds,428,occasional,No
8769-KKTPH,99.65,63,Credit card (automatic),0,bank_decline,209,high_value_repeat,Yes
5067-XJQFU,108.45,66,Electronic check,0,insufficient_funds,544,high_value_repeat,No
3957-SQXML,24.95,34,Credit card (automatic),0,insufficient_funds,383,occasional,No
5954-BDFSG,107.5,72,Credit card (automatic),0,bank_decline,383,high_value_repeat,No
0434-CSFON,100.5,47,Electronic check,0,card_expired,534,high_value_repeat,No
1215-FIGMP,89.9,60,Bank transfer (automatic),0,insufficient_funds,450,high_value_repeat,Yes
0526-SXDJP,42.1,72,Bank transfer (automatic),2,insufficient_funds,222,occasional,No
0557-ASKVU,54.4,18,Credit card (automatic),0,insufficient_funds,351,occasional,Yes
5698-BQJOH,94.4,9,Electronic check,0,insufficient_funds,499,occasional,No
5122-CYFXA,75.3,3,Electronic check,1,bank_decline,476,new_customer,Yes
8627-ZYGSZ,78.9,47,Electronic check,0,insufficient_funds,439,high_value_repeat,Yes
3410-YOQBQ,79.2,31,Mailed check,2,network_error,3246,high_value_repeat,Yes
3170-NMYVV,20.15,50,Bank transfer (automatic),0,bank_decline,345,occasional,No
7410-OIEDU,79.85,10,Mailed check,3,insufficient_funds,426,occasional,No
2273-QCKXA,49.05,1,Mailed check,2,insufficient_funds,50,new_customer,No
0731-EBJQB,20.4,52,Electronic check,0,network_error,2140,occasional,Yes
1891-QRQSA,111.6,64,Bank transfer (automatic),0,bank_decline,514,high_value_repeat,Yes
8028-PNXHQ,24.25,62,Bank transfer (automatic),2,bank_decline,341,occasional,Yes
5630-AHZIL,64.5,3,Bank transfer (automatic),1,insufficient_funds,330,new_customer,No
2673-CXQEU,110.5,56,Electronic check,1,network_error,1666,high_value_repeat,Yes
6416-JNVRK,55.65,46,Credit card (automatic),2,network_error,3302,occasional,No
5590-ZSKRV,54.65,8,Mailed check,0,bank_decline,482,occasional,No
0191-ZHSKZ,74.75,30,Electronic check,0,insufficient_funds,523,high_value_repeat,No
3887-PBQAO,25.9,45,Credit card (automatic),0,network_error,1119,occasional,No
5919-TMRGD,79.35,1,Electronic check,2,bank_decline,375,new_customer,No
8108-UXRQN,50.55,11,Electronic check,1,card_expired,357,occasional,No
9191-MYQKX,75.15,7,Bank transfer (automatic),0,card_expired,357,occasional,No
9919-YLNNG,103.8,42,Bank transfer (automatic),0,insufficient_funds,307,high_value_repeat,Yes
0318-ZOPWS,20.15,49,Bank transfer (automatic),0,card_expired,348,occasional,No
4445-ZJNMU,99.3,9,Credit card (automatic),0,insufficient_funds,527,occasional,Yes
4808-YNLEU,62.15,35,Bank transfer (automatic),1,bank_decline,113,high_value_repeat,No
1862-QRWPE,20.65,48,Bank transfer (automatic),1,card_expired,666,occasional,No
2796-NNUFI,19.95,46,Mailed check,2,card_expired,472,occasional,No
3016-KSVCP,33.75,29,Mailed check,1,network_error,2466,occasional,Yes
4767-HZZHQ,82.05,30,Bank transfer (automatic),0,insufficient_funds,536,high_value_repeat,Yes
2424-WVHPL,74.7,1,Electronic check,1,card_expired,182,new_customer,No
7233-PAHHL,84.0,66,Mailed check,2,network_error,1968,high_value_repeat,Yes
6067-NGCEU,111.05,65,Credit card (automatic),1,bank_decline,381,high_value_repeat,Yes
9848-JQJTX,100.9,72,Bank transfer (automatic),2,card_expired,604,high_value_repeat,No
8637-XJIVR,78.95,12,Electronic check,1,network_error,2462,occasional,Yes
9803-FTJCG,66.85,71,Credit card (automatic),1,insufficient_funds,467,high_value_repeat,Yes
0278-YXOOG,21.05,5,Mailed check,0,bank_decline,311,occasional,Yes
3212-KXOCR,21.0,52,Bank transfer (automatic),0,insufficient_funds,473,occasional,Yes
4598-XLKNJ,98.5,25,Electronic check,0,network_error,3841,high_value_repeat,Yes
6380-ARCEH,20.2,1,Mailed check,0,card_expired,549,new_customer,No
3679-XASPY,19.45,1,Electronic check,1,bank_decline,387,new_customer,Yes
7123-WQUHX,95.0,38,Bank transfer (automatic),0,network_error,3040,high_value_repeat,Yes
5386-THSLQ,45.55,66,Bank transfer (automatic),1,bank_decline,486,occasional,Yes
3192-NQECA,110.0,68,Bank transfer (automatic),3,insufficient_funds,475,high_value_repeat,No
6180-YBIQI,24.3,5,Mailed check,0,card_expired,566,occasional,No
6728-DKUCO,104.15,72,Electronic check,0,card_expired,565,high_value_repeat,No
9750-BOOHV,30.15,32,Mailed check,2,bank_decline,380,occasional,Yes
8597-CWYHH,94.35,43,Mailed check,0,insufficient_funds,496,high_value_repeat,Yes
2848-YXSMW,19.4,72,Credit card (automatic),0,bank_decline,342,occasional,Yes
0486-HECZI,96.75,55,Electronic check,0,bank_decline,261,high_value_repeat,Yes
4549-ZDQYY,57.95,52,Credit card (automatic),0,card_expired,359,occasional,No
5712-AHQNN,91.65,43,Electronic check,3,bank_decline,388,high_value_repeat,No
4846-WHAFZ,76.5,37,Electronic check,2,card_expired,150,high_value_repeat,Yes
5256-SKJGO,54.6,64,Electronic check,1,card_expired,529,occasional,No
3071-VBYPO,89.85,3,Electronic check,2,insufficient_funds,50,new_customer,No
9560-BBZXK,31.05,36,Bank transfer (automatic),2,network_error,4671,occasional,No
5299-RULOA,100.25,10,Electronic check,0,network_error,3701,occasional,Yes
8402-OOOHJ,20.65,41,Mailed check,2,card_expired,360,occasional,No
9445-ZUEQE,85.2,27,Credit card (automatic),1,card_expired,401,high_value_repeat,No
1091-SOZGA,99.8,56,Credit card (automatic),2,network_error,2742,high_value_repeat,Yes
2928-HLDBA,20.7,6,Mailed check,2,network_error,2028,occasional,No
0404-SWRVG,74.4,3,Electronic check,0,insufficient_funds,428,new_customer,Yes
6497-TILVL,50.7,7,Mailed check,0,bank_decline,378,occasional,No
7219-TLZHO,20.85,4,Mailed check,0,card_expired,385,occasional,No
4622-YNKIJ,88.95,33,Electronic check,0,insufficient_funds,427,high_value_repeat,Yes
4412-YLTKF,78.05,27,Electronic check,2,insufficient_funds,202,high_value_repeat,No
6734-PSBAW,23.55,72,Bank transfer (automatic),2,card_expired,405,occasional,No
3930-ZGWVE,19.75,1,Mailed check,0,bank_decline,424,new_customer,Yes
2639-UGMAZ,56.45,71,Electronic check,1,card_expired,419,occasional,No
2876-GZYZC,85.95,13,Electronic check,0,network_error,2327,occasional,Yes
6207-WIOLX,58.6,25,Credit card (automatic),0,insufficient_funds,570,occasional,Yes
8587-XYZSF,50.55,67,Bank transfer (automatic),0,card_expired,346,occasional,Yes
3091-FYHKI,35.45,1,Electronic check,0,bank_decline,434,new_customer,No
2372-HWUHI,44.35,2,Electronic check,3,bank_decline,594,new_customer,Yes
7799-LGRDP,25.7,43,Credit card (automatic),0,insufficient_funds,388,occasional,Yes
7850-VWJUU,75.0,23,Bank transfer (automatic),1,card_expired,432,occasional,No
3774-VBNXY,20.2,64,Mailed check,1,insufficient_funds,385,occasional,Yes
6217-KDYWC,19.6,57,Mailed check,0,card_expired,585,occasional,No
0390-DCFDQ,70.45,1,Mailed check,3,network_error,2293,new_customer,No
3146-MSEGF,88.05,72,Credit card (automatic),3,network_error,3526,high_value_repeat,Yes
4080-OGPJL,71.15,8,Electronic check,0,insufficient_funds,384,occasional,Yes
1095-WGNGG,101.05,61,Bank transfer (automatic),1,bank_decline,271,high_value_repeat,Yes
2636-SJDOU,84.3,64,Credit card (automatic),0,card_expired,501,high_value_repeat,Yes
1131-QQZEB,23.95,71,Bank transfer (automatic),0,card_expired,354,occasional,No
5716-EZXZN,99.05,65,Credit card (automatic),0,card_expired,493,high_value_repeat,No
6837-BJYDQ,19.6,3,Mailed check,1,network_error,316,new_customer,Yes
2135-RXIHG,45.65,1,Electronic check,1,network_error,2504,new_customer,Yes
6440-DKQGE,64.5,30,Credit card (automatic),0,card_expired,331,high_value_repeat,No
3466-BYAVD,69.5,15,Mailed check,0,network_error,1649,occasional,Yes
3780-YVMFA,68.55,8,Electronic check,3,insufficient_funds,317,occasional,No
3874-EQOEP,95.0,7,Mailed check,0,bank_decline,313,occasional,No
1679-JRFBR,108.15,70,Credit card (automatic),0,card_expired,392,high_value_repeat,No
9073-ZZIAY,86.1,62,Electronic check,1,insufficient_funds,194,high_value_repeat,No
3077-RSNTJ,19.7,6,Mailed check,3,bank_decline,447,occasional,No
6551-GNYDG,80.9,14,Bank transfer (automatic),0,bank_decline,604,occasional,Yes
9167-APMXZ,84.15,22,Bank transfer (automatic),1,bank_decline,442,occasional,No
2749-CTKAJ,20.15,22,Mailed check,2,card_expired,521,occasional,No
6371-NZYEG,64.25,16,Mailed check,0,insufficient_funds,564,occasional,No
7554-NEWDD,25.7,10,Bank transfer (automatic),1,network_error,3489,occasional,No
8992-VONJD,56.0,13,Electronic check,0,insufficient_funds,680,occasional,Yes
0867-MKZVY,82.4,20,Electronic check,1,bank_decline,325,occasional,Yes
4482-EWFMI,69.7,2,Electronic check,1,insufficient_funds,292,new_customer,No
4648-YPBTM,73.9,53,Bank transfer (automatic),1,insufficient_funds,517,high_value_repeat,Yes
2907-ILJBN,20.6,11,Mailed check,0,card_expired,506,occasional,No
6345-FZOQH,19.9,69,Mailed check,2,card_expired,516,occasional,No
3376-BMGFE,70.9,4,Bank transfer (automatic),0,network_error,4011,occasional,No
5997-OPVFA,89.05,72,Bank transfer (automatic),0,card_expired,401,high_value_repeat,No
3445-HXXGF,45.3,58,Electronic check,0,insufficient_funds,463,occasional,Yes
1159-WFSGR,20.4,16,Electronic check,1,card_expired,252,occasional,No
7654-YWJUF,84.25,43,Bank transfer (automatic),1,card_expired,720,high_value_repeat,No
1875-QIVME,104.4,2,Electronic check,0,insufficient_funds,349,new_customer,Yes
6727-IOTLZ,81.95,14,Mailed check,1,card_expired,353,occasional,No
0691-JVSYA,94.85,53,Bank transfer (automatic),0,card_expired,347,high_value_repeat,No
5918-VUKWP,20.55,32,Bank transfer (automatic),1,network_error,1984,occasional,No
1744-JHKYS,24.7,34,Electronic check,0,bank_decline,290,occasional,Yes
2656-FMOKZ,74.45,15,Mailed check,1,bank_decline,321,occasional,Yes
2070-FNEXE,76.45,7,Bank transfer (automatic),0,bank_decline,195,occasional,Yes
5947-SGKCL,105.35,15,Bank transfer (automatic),3,insufficient_funds,282,occasional,No
3712-PKXZA,20.55,61,Credit card (automatic),0,insufficient_funds,692,occasional,Yes
6317-YPKDH,29.95,1,Bank transfer (automatic),0,card_expired,510,new_customer,No
6582-OIVSP,45.3,1,Mailed check,0,bank_decline,538,new_customer,Yes
9367-WXLCH,84.5,8,Bank transfer (automatic),3,bank_decline,576,occasional,No
5524-KHNJP,74.75,33,Credit card (automatic),2,bank_decline,675,high_value_repeat,No
1918-ZBFQJ,79.25,13,Electronic check,0,insufficient_funds,134,occasional,Yes
1024-GUALD,24.8,1,Electronic check,1,bank_decline,215,new_customer,Yes
4827-USJHP,51.8,20,Mailed check,2,card_expired,279,occasional,No
8167-GJLRN,30.4,3,Electronic check,1,insufficient_funds,329,new_customer,No
0956-SYCWG,19.65,13,Electronic check,1,card_expired,354,occasional,No
8017-UVSZU,56.6,40,Credit card (automatic),0,insufficient_funds,332,occasional,Yes
7100-FQPRV,71.9,43,Credit card (automatic),0,card_expired,432,high_value_repeat,No
2472-OVKUP,91.0,6,Electronic check,2,insufficient_funds,405,occasional,No
2984-RGEYA,19.75,69,Bank transfer (automatic),3,card_expired,291,occasional,No
9680-NIAUV,109.7,72,Credit card (automatic),1,card_expired,73,high_value_repeat,No
2146-EGVDT,19.3,59,Credit card (automatic),0,bank_decline,251,occasional,Yes
2604-IJPDU,96.55,20,Electronic check,0,network_error,2060,occasional,Yes
9178-JHUVJ,24.1,24,Bank transfer (automatic),1,card_expired,362,occasional,No
6168-YBYNP,111.35,59,Electronic check,2,bank_decline,230,high_value_repeat,Yes
7255-SSFBC,112.25,72,Bank transfer (automatic),2,bank_decline,326,high_value_repeat,No
3645-DEYGF,20.75,1,Mailed check,2,insufficient_funds,230,new_customer,No
9323-HGFWY,101.9,27,Credit card (automatic),1,card_expired,381,high_value_repeat,No
8544-GOQSH,80.05,14,Credit card (automatic),0,insufficient_funds,239,occasional,Yes
3363-DTIVD,105.55,71,Electronic check,0,insufficient_funds,272,high_value_repeat,No
7018-WBJNK,78.3,13,Credit card (automatic),2,network_error,1453,occasional,Yes
9142-KZXOP,68.85,44,Credit card (automatic),1,bank_decline,376,high_value_repeat,No
7674-YTAFD,79.95,33,Bank transfer (automatic),0,insufficient_funds,270,high_value_repeat,Yes
6348-SNFUS,55.45,72,Credit card (automatic),0,bank_decline,536,occasional,No
1285-OKIPP,79.9,1,Electronic check,1,bank_decline,460,new_customer,No
7825-ECJRF,106.6,19,Electronic check,0,bank_decline,389,occasional,No
1347-KTTTA,102.45,64,Credit card (automatic),0,insufficient_funds,280,high_value_repeat,Yes
7841-TZDMQ,46.0,2,Credit card (automatic),1,bank_decline,457,new_customer,No
4195-NZGTA,25.25,1,Electronic check,1,card_expired,503,new_customer,Yes
7157-SMCFK,19.75,61,Mailed check,1,network_error,2614,occasional,Yes
4709-LKHYG,20.0,29,Electronic check,0,insufficient_funds,640,occasional,Yes
2504-DSHIH,86.8,23,Electronic check,1,insufficient_funds,468,occasional,Yes
0699-NDKJM,58.75,57,Bank transfer (automatic),0,network_error,3230,occasional,Yes
9286-BHDQG,45.25,72,Credit card (automatic),0,card_expired,420,occasional,No
0230-WEQUW,56.6,66,Bank transfer (automatic),1,card_expired,501,occasional,No
2040-LDIWQ,84.2,65,Bank transfer (automatic),1,insufficient_funds,280,high_value_repeat,No
6496-JDSSB,80.0,8,Bank transfer (automatic),2,network_error,2133,occasional,Yes
9408-SSNVZ,70.15,4,Electronic check,1,insufficient_funds,452,occasional,No
4443-EMBNA,24.75,71,Bank transfer (automatic),1,bank_decline,451,occasional,Yes
6469-MRVET,20.2,1,Electronic check,0,insufficient_funds,476,new_customer,Yes
0742-MOABM,50.05,4,Mailed check,0,insufficient_funds,565,occasional,Yes
5961-VUSRV,19.35,12,Bank transfer (automatic),0,card_expired,186,occasional,No
6778-JFCMK,50.6,24,Mailed check,0,card_expired,253,occasional,No
6341-JVQGF,81.15,31,Mailed check,3,insufficient_funds,434,high_value_repeat,Yes
2232-DMLXU,55.2,1,Mailed check,0,card_expired,291,new_customer,No
4811-JBUVU,89.9,30,Credit card (automatic),2,bank_decline,906,high_value_repeat,Yes
0945-TSONX,85.3,47,Credit card (automatic),1,card_expired,477,high_value_repeat,No
2651-ZCBXV,108.0,54,Credit card (automatic),2,insufficient_funds,388,high_value_repeat,No
3316-UWXUY,93.5,50,Credit card (automatic),1,insufficient_funds,322,high_value_repeat,No
8937-RDTHP,84.6,1,Mailed check,1,bank_decline,327,new_customer,No
7083-MIOPC,20.25,72,Credit card (automatic),1,card_expired,404,occasional,No
1984-GPTEH,25.15,29,Electronic check,0,insufficient_funds,416,occasional,Yes
1251-KRREG,54.4,2,Mailed check,1,bank_decline,331,new_customer,Yes
0621-JFHOL,29.6,10,Mailed check,0,network_error,2281,occasional,Yes
9903-LYSAB,73.15,18,Electronic check,0,card_expired,601,occasional,No
0094-OIFMO,95.0,11,Electronic check,1,insufficient_funds,607,occasional,Yes
9227-UAQFT,19.75,16,Mailed check,0,insufficient_funds,437,occasional,Yes
7301-ABVAD,86.6,72,Bank transfer (automatic),3,card_expired,198,high_value_repeat,No
6614-FHDBO,109.2,72,Bank transfer (automatic),3,insufficient_funds,480,high_value_repeat,No
7576-ASEJU,74.7,41,Credit card (automatic),3,card_expired,633,high_value_repeat,No
9058-HRZSV,94.4,65,Electronic check,0,card_expired,605,high_value_repeat,No
4522-AKYLR,54.8,13,Electronic check,0,card_expired,510,occasional,No
0221-WMXNQ,75.35,4,Electronic check,3,bank_decline,613,occasional,No
0303-UNCIP,65.0,41,Mailed check,0,bank_decline,408,high_value_repeat,No
9947-OTFQU,74.4,15,Electronic check,3,network_error,3002,occasional,Yes
0322-YINQP,48.55,1,Mailed check,3,insufficient_funds,297,new_customer,No
0959-WHOKV,99.0,42,Electronic check,2,insufficient_funds,443,high_value_repeat,No
4075-JFPGR,93.5,51,Electronic check,0,card_expired,599,high_value_repeat,No
4629-NRXKX,70.4,2,Electronic check,0,insufficient_funds,311,new_customer,No
9514-JDSKI,40.2,1,Electronic check,2,bank_decline,270,new_customer,No
3282-ZISZV,83.7,32,Credit card (automatic),0,insufficient_funds,414,high_value_repeat,Yes
3675-YDUPJ,19.85,10,Mailed check,0,card_expired,366,occasional,No
4111-BNXIF,59.55,67,Electronic check,1,card_expired,497,occasional,No
7017-VFHAY,115.1,61,Credit card (automatic),3,card_expired,332,high_value_repeat,No
6655-LHBYW,114.35,50,Credit card (automatic),1,insufficient_funds,657,high_value_repeat,No
4959-JOSRX,44.6,2,Credit card (automatic),1,card_expired,206,new_customer,No
5046-NUHWD,45.0,29,Electronic check,0,card_expired,588,occasional,No
7273-TEFQD,41.15,3,Electronic check,1,bank_decline,285,new_customer,Yes
3606-TWKGI,106.9,13,Electronic check,3,insufficient_funds,130,occasional,No
7529-ZDFXI,89.85,57,Electronic check,0,bank_decline,435,high_value_repeat,Yes
7605-BDWDC,49.85,31,Bank transfer (automatic),1,bank_decline,361,occasional,No
1950-KSVVJ,113.3,45,Mailed check,2,insufficient_funds,233,high_value_repeat,Yes
0123-CRBRT,88.1,61,Mailed check,1,network_error,1154,high_value_repeat,Yes
6292-TOSSS,24.9,50,Bank transfer (automatic),1,insufficient_funds,398,occasional,Yes
3197-ARFOY,105.0,19,Mailed check,1,bank_decline,546,occasional,Yes
6323-AYBRX,19.35,59,Mailed check,0,network_error,2967,occasional,Yes
7014-ZZXAW,24.25,71,Credit card (automatic),0,card_expired,408,occasional,No
4385-GZQXV,94.45,16,Electronic check,2,insufficient_funds,471,occasional,Yes
7633-MVPUY,59.75,57,Electronic check,2,insufficient_funds,395,occasional,Yes
6366-ZGQGL,24.8,1,Bank transfer (automatic),2,bank_decline,185,new_customer,No
4716-HHKQH,107.05,20,Electronic check,3,insufficient_funds,186,occasional,No
5940-AHUHD,70.6,1,Mailed check,1,network_error,2337,new_customer,Yes
6432-TWQLB,85.4,5,Electronic check,1,insufficient_funds,375,occasional,Yes
4484-GLZOU,105.05,52,Electronic check,2,bank_decline,527,high_value_repeat,Yes
3179-GBRWV,64.95,21,Bank transfer (automatic),1,insufficient_funds,513,occasional,No
8645-KWHJO,55.0,14,Electronic check,1,network_error,2984,occasional,No
4130-MZLCC,50.55,5,Bank transfer (automatic),2,card_expired,357,occasional,No
0314-TKOSI,55.15,6,Mailed check,2,network_error,1395,occasional,Yes
8229-MYEJZ,51.2,10,Electronic check,0,insufficient_funds,461,occasional,Yes
2080-SRCDE,25.4,1,Mailed check,0,insufficient_funds,478,new_customer,Yes
9577-WJVCQ,54.45,68,Mailed check,0,insufficient_funds,50,occasional,Yes
9512-UIBFX,95.15,18,Mailed check,1,network_error,1832,occasional,Yes
6202-DYYFX,76.0,22,Credit card (automatic),0,insufficient_funds,296,occasional,No
3808-HFKDE,44.35,20,Electronic check,1,network_error,2594,occasional,Yes
5583-SXDAG,70.0,1,Electronic check,1,insufficient_funds,279,new_customer,No
3488-PGMQJ,74.5,8,Electronic check,0,bank_decline,394,occasional,Yes
3580-REOAC,44.85,10,Credit card (automatic),1,bank_decline,368,occasional,No
7534-BFESC,76.1,24,Electronic check,0,card_expired,376,occasional,No
3727-OWVYD,61.2,35,Mailed check,0,card_expired,292,high_value_repeat,No
2294-SALNE,86.8,23,Mailed check,2,insufficient_funds,304,occasional,No
4847-TAJYI,89.35,6,Electronic check,0,insufficient_funds,237,occasional,Yes
1563-IWQEX,19.7,12,Mailed check,0,card_expired,457,occasional,No
8203-XJZRC,20.25,1,Mailed check,1,network_error,2956,new_customer,Yes
6556-DBKZF,76.05,71,Electronic check,2,card_expired,284,high_value_repeat,No
6851-WEFYX,100.8,35,Electronic check,0,bank_decline,628,high_value_repeat,No
2985-JUUBZ,74.55,40,Electronic check,1,insufficient_funds,352,high_value_repeat,No
6390-DSAZX,73.6,1,Mailed check,0,network_error,3724,new_customer,Yes
0895-LMRSF,64.9,23,Bank transfer (automatic),0,card_expired,303,occasional,No
8098-LLAZX,95.45,4,Electronic check,1,card_expired,96,occasional,No
8266-VBFQL,90.4,4,Electronic check,1,insufficient_funds,460,occasional,Yes
8181-YHCMF,60.3,68,Credit card (automatic),1,card_expired,437,high_value_repeat,No
2240-HSJQD,81.85,38,Mailed check,1,card_expired,405,high_value_repeat,No
1248-DYXUB,24.8,52,Mailed check,3,network_error,1986,occasional,Yes
0265-EDXBD,74.9,32,Electronic check,1,bank_decline,394,high_value_repeat,No
4115-BNPJY,75.55,29,Mailed check,0,insufficient_funds,323,high_value_repeat,No
3167-SNQPL,101.15,38,Electronic check,2,insufficient_funds,354,high_value_repeat,No
4091-TVOCN,78.75,48,Credit card (automatic),0,card_expired,526,high_value_repeat,No
1098-TDVUQ,19.25,1,Bank transfer (automatic),0,network_error,2647,new_customer,Yes
7277-OZCGZ,89.05,22,Electronic check,0,insufficient_funds,491,occasional,Yes
1557-EMYVT,115.05,43,Credit card (automatic),0,network_error,2314,high_value_repeat,Yes
2799-ARNLO,69.35,5,Electronic check,3,bank_decline,348,occasional,Yes
7563-BIUPC,80.6,5,Electronic check,2,bank_decline,226,occasional,Yes
5027-YOCXN,110.05,51,Credit card (automatic),1,insufficient_funds,344,high_value_repeat,Yes
3973-SKMLN,19.9,71,Credit card (automatic),0,bank_decline,50,occasional,No
2321-OMBXY,80.3,38,Credit card (automatic),0,network_error,2027,high_value_repeat,Yes
2840-XANRC,93.15,24,Electronic check,0,card_expired,387,occasional,No
6745-JEFZB,91.5,35,Credit card (automatic),0,card_expired,484,high_value_repeat,No
5020-ZSTTY,82.45,54,Bank transfer (automatic),1,bank_decline,359,high_value_repeat,No
9880-TDQAC,60.0,72,Electronic check,1,card_expired,452,occasional,No
8705-WZCYL,44.8,1,Electronic check,1,card_expired,73,new_customer,No
7102-JJVTX,48.6,9,Mailed check,0,card_expired,391,occasional,No
8626-PTQGE,60.05,69,Bank transfer (automatic),3,network_error,1156,high_value_repeat,Yes
4983-CLMLV,102.7,52,Credit card (automatic),1,insufficient_funds,218,high_value_repeat,Yes
5701-YVSVF,82.9,11,Electronic check,1,bank_decline,371,occasional,No
5804-LEPIM,70.35,2,Electronic check,1,network_error,3521,new_customer,No
5697-GOMBF,35.9,28,Electronic check,0,network_error,2796,occasional,Yes
2739-CACDQ,82.65,17,Credit card (automatic),0,insufficient_funds,402,occasional,No
9385-EHGDO,19.85,35,Mailed check,0,network_error,2484,occasional,No
9498-FIMXL,19.2,8,Mailed check,2,insufficient_funds,292,occasional,No
2379-GYFLQ,94.9,46,Credit card (automatic),0,insufficient_funds,318,high_value_repeat,Yes
0122-OAHPZ,73.85,7,Electronic check,0,card_expired,464,occasional,No
2868-SNELZ,80.6,2,Mailed check,0,insufficient_funds,192,new_customer,Yes
